top - 15:58:38 up  2:09,  1 user,  load average: 0,38, 0,42, 0,34
Tasks: 319 total,   1 running, 312 sleeping,   6 stopped,   0 zombie
%Cpu(s): 13,2 us,  2,9 sy,  0,0 ni, 83,8 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :   7856,4 total,   4178,1 free,   1387,6 used,   2290,7 buff/cache
MiB Swap:   1335,2 total,   1335,2 free,      0,0 used.   6018,3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    427 root       0 -20       0      0      0 S   0,0   0,0   0:00.04 loop8
    440 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop9
    442 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/28-mei_me
    450 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 cfg80211
    453 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop10
    461 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 cryptd
    500 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card0-crtc0
    503 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card0-crtc1
    504 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card0-crtc2
    549 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop11
    645 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop12
    696 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop13
    699 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop14
    700 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop15
    701 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop16
    702 root       0 -20       0      0      0 S   0,0   0,0   0:00.12 loop17
    703 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop18
    704 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop19
    705 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop20
    706 root       0 -20       0      0      0 S   0,0   0,0   0:00.03 loop21
    714 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop22
    786 systemd+  20   0   24056  13336   9256 S   0,0   0,2   0:00.94 systemd-resolve
    794 root      10 -10    9508   4604   3844 S   0,0   0,1   0:00.70 ovsdb-server
    850 root      20   0  247192   7808   6764 S   0,0   0,1   0:00.36 accounts-daemon
    851 root      20   0    2548    772    708 S   0,0   0,0   0:01.51 acpid
    853 avahi     20   0    8544   3588   3260 S   0,0   0,0   0:00.20 avahi-daemon
    855 root      20   0   18064   3352   3084 S   0,0   0,0   0:00.09 cron
    857 root      20   0   37360   9456   7544 S   0,0   0,1   0:00.02 cupsd
    858 message+  20   0   10144   6832   4020 S   0,0   0,1   0:08.28 dbus-daemon
    859 root      20   0  419600  21588  17256 S   0,0   0,3   0:53.30 NetworkManager
    869 root      20   0   81904   3764   3432 S   0,0   0,0   0:00.50 irqbalance
    870 root      20   0  151112   1772   1632 S   0,0   0,0   0:00.01 lxcfs
    875 root      20   0   48068  20424  12064 S   0,0   0,3   0:00.11 networkd-dispat
    885 root      20   0  249944  12056   7352 S   0,0   0,1   0:02.20 polkitd
    893 syslog    20   0  224356   5044   3748 S   0,0   0,1   0:00.43 rsyslogd
    896 root      20   0 1390868  36640  19020 S   0,0   0,5   0:08.34 snapd
    898 root      20   0  244248   6128   5588 S   0,0   0,1   0:00.01 switcheroo-cont
    899 root      20   0   16796   8344   7268 S   0,0   0,1   0:00.27 systemd-logind
    900 root      20   0   16356   5784   5080 S   0,0   0,1   0:00.15 systemd-machine
    903 root      20   0  134908   9636   8796 S   0,0   0,1   0:00.46 thermald
    904 root      20   0  393284  13876  10500 S   0,0   0,2   0:01.22 udisksd
    906 root      20   0   14068   9520   8516 S   0,0   0,1   0:01.49 wpa_supplicant
    915 avahi     20   0    8352    328      0 S   0,0   0,0   0:00.00 avahi-daemon
    964 root      20   0  117452   5356   2692 S   0,0   0,1   0:47.57 dynamips
    998 root      10 -10  677200  88320  11616 S   0,0   1,1   0:31.84 ovs-vswitchd
   1026 root      20   0  178836  13220  11460 S   0,0   0,2   0:00.15 cups-browsed
   1035 colord    20   0  255004  14712   9452 S   0,0   0,2   0:00.22 colord
   1043 root      20   0  240740  11008   9292 S   0,0   0,1   0:00.08 ModemManager
   1059 emby      20   0 4308516 155892  64840 S   0,0   1,9   0:17.01 EmbyServer
   1067 root      20   0 1568112  39560  29444 S   0,0   0,5   0:00.36 libvirtd
   1077 root      20   0  970152  11504   8312 S   0,0   0,1   0:04.16 canonical-livep
   1096 root      20   0  127024  22696  14516 S   0,0   0,3   0:00.10 unattended-upgr
   1131 ntp       20   0   74992   4504   3892 S   0,0   0,1   0:01.01 ntpd
   1135 uml-net   20   0    2508    716    652 S   0,0   0,0   0:00.20 uml_switch
   1142 root      20   0  248252   8716   7508 S   0,0   0,1   0:00.03 gdm3
   1144 root      20   0   12196   6916   6072 S   0,0   0,1   0:00.00 sshd
   1153 root      20   0    9916   2744   2220 S   0,0   0,0   0:00.19 hostapd
   1210 mysql     20   0 1776028 109300  18540 S   0,0   1,4   0:08.01 mysqld
   1222 root      20   0   55484   1540     64 S   0,0   0,0   0:00.00 nginx
   1223 www-data  20   0   56100   5816   3904 S   0,0   0,1   0:00.01 nginx
   1224 www-data  20   0   56100   5456   3788 S   0,0   0,1   0:00.00 nginx
   1225 www-data  20   0   56100   5456   3788 S   0,0   0,1   0:00.00 nginx
   1226 www-data  20   0   56100   5456   3788 S   0,0   0,1   0:00.00 nginx
   1227 www-data  20   0   56100   5456   3788 S   0,0   0,1   0:00.00 nginx
   1228 www-data  20   0   56100   5456   3788 S   0,0   0,1   0:00.00 nginx
   1229 www-data  20   0   56100   5456   3788 S   0,0   0,1   0:00.00 nginx
   1230 www-data  20   0   56100   5456   3788 S   0,0   0,1   0:00.00 nginx
   1251 root      20   0       0      0      0 S   0,0   0,0   0:00.00 ath9k-hwrng
   1292 root      20   0    2496    520    452 S   0,0   0,0   0:00.00 bpfilter_umh
   1340 freerad   20   0  173492  92532  12968 S   0,0   1,2   0:00.08 freeradius
   1351 rtkit     21   1  152940   3104   2864 S   0,0   0,0   0:00.11 rtkit-daemon
   1459 libvirt+  20   0    9248   2128   1784 S   0,0   0,0   0:00.01 dnsmasq
   1460 root      20   0    9220    340      0 S   0,0   0,0   0:00.00 dnsmasq
   1576 root      20   0    8264   4764   4400 S   0,0   0,1   0:00.01 bluetoothd
   1619 root      20   0  261028  10192   8740 S   0,0   0,1   0:00.44 upowerd
   1763 geoclue   20   0  780156  21456  15004 S   0,0   0,3   0:04.42 geoclue
   1896 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/u17:1
   2006 whoopsie  20   0  327216  16272  14308 S   0,0   0,2   0:00.19 whoopsie
   2021 root      20   0   83760   4836   4368 S   0,0   0,1   0:01.84 hamachid
   2031 kernoops  20   0   11272    448      0 S   0,0   0,0   0:00.23 kerneloops
   2066 kernoops  20   0   11272    448      0 S   0,0   0,0   0:00.23 kerneloops
   2099 lxc-dns+  20   0   23420    356      0 S   0,0   0,0   0:00.00 dnsmasq
   2104 root      20   0   12124   2772   1952 S   0,0   0,0   0:00.00 ovs-testcontrol
   2124 asterisk  20   0 4380964  75784  39172 S   0,0   0,9   1:20.61 asterisk
   2220 root      20   0   33300  15176   4380 S   0,0   0,2   0:00.54 munin-node
   2322 root      20   0  176004  10356   8564 S   0,0   0,1   0:00.02 gdm-session-wor
   2763 christi+  20   0   21464  12584   8132 S   0,0   0,2   0:00.79 systemd
   2764 christi+  20   0  170072   4516      4 S   0,0   0,1   0:00.00 (sd-pam)
   2769 christi+   9 -11 1753888  20140  15184 S   0,0   0,3   0:00.22 pulseaudio
   2771 christi+  39  19  594320  25316  16512 S   0,0   0,3   0:00.45 tracker-miner-f
   2775 christi+  20   0    8864   6192   4024 S   0,0   0,1   0:01.27 dbus-daemon
   2779 christi+  20   0  322564   8084   6968 S   0,0   0,1   0:00.37 gnome-keyring-d
   2795 christi+  20   0  248356   7928   6980 S   0,0   0,1   0:00.04 gvfsd
   2800 christi+  20   0  378352   6432   5772 S   0,0   0,1   0:00.00 gvfsd-fuse
   2806 christi+  20   0  396456   9684   7924 S   0,0   0,1   0:00.86 gvfs-udisks2-vo
   2814 christi+  20   0  244516   6312   5792 S   0,0   0,1   0:00.02 gvfs-goa-volume
   2818 christi+  20   0  559532  58976  36016 S   0,0   0,7   0:03.10 goa-daemon
   2826 christi+  20   0  323396   9160   8072 S   0,0   0,1   0:00.07 goa-identity-se
   2832 christi+  20   0  246752   6576   5860 S   0,0   0,1   0:00.02 gvfs-gphoto2-vo
   2836 christi+  20   0  325368   9124   8120 S   0,0   0,1   0:00.32 gvfs-afc-volume
   2842 christi+  20   0  244344   6120   5500 S   0,0   0,1   0:00.03 gvfs-mtp-volume
   2849 christi+  20   0  172660   6840   6204 S   0,0   0,1   0:00.00 gdm-x-session
   2875 christi+  20   0  196892  13960  12484 S   0,0   0,2   0:00.05 gnome-session-b
   2942 christi+  20   0    6040    456      0 S   0,0   0,0   0:00.02 ssh-agent
   2964 christi+  20   0  305440   6732   6148 S   0,0   0,1   0:00.00 at-spi-bus-laun
   2969 christi+  20   0    7392   4332   3880 S   0,0   0,1   0:00.51 dbus-daemon
   2979 christi+  20   0   98704   4364   3948 S   0,0   0,1   0:00.00 gnome-session-c
   2990 christi+  20   0  419052  15664  13044 S   0,0   0,2   0:00.15 gnome-session-b
   3038 christi+  20   0  393324   8388   6908 S   0,0   0,1   0:00.03 ibus-daemon
   3042 christi+  20   0  171344   7256   6624 S   0,0   0,1   0:00.00 ibus-memconf
   3043 christi+  20   0  284304  31612  18112 S   0,0   0,4   0:01.61 ibus-extension-
   3045 christi+  20   0  206492  28216  18452 S   0,0   0,4   0:00.42 ibus-x11
   3047 christi+  20   0  245012   7280   6632 S   0,0   0,1   0:00.05 ibus-portal
   3060 christi+  20   0  162884   6496   5900 S   0,0   0,1   0:01.16 at-spi2-registr
   3065 christi+  20   0  244240   4916   4480 S   0,0   0,1   0:00.00 xdg-permission-
   3068 christi+  20   0  580908  19900  17284 S   0,0   0,2   0:00.08 gnome-shell-cal
   3076 christi+  20   0  882496  26092  21928 S   0,0   0,3   0:00.23 evolution-sourc
   3085 christi+  20   0  156372   6004   5196 S   0,0   0,1   0:00.02 dconf-service
   3094 christi+  20   0 1388016  31036  26672 S   0,0   0,4   0:00.25 evolution-calen
   3106 christi+  20   0  755572  30064  26552 S   0,0   0,4   0:00.19 evolution-addre
   3126 christi+  20   0 2938928  26728  21724 S   0,0   0,3   0:00.09 gjs
   3138 christi+  20   0  327320  13260   7060 S   0,0   0,2   0:00.59 gvfsd-trash
   3148 christi+  20   0  318316   6892   6272 S   0,0   0,1   0:00.01 gsd-a11y-settin
   3149 christi+  20   0  718016  30428  20392 S   0,0   0,4   0:00.50 gsd-color
   3150 christi+  20   0  382272  16248  14300 S   0,0   0,2   0:00.04 gsd-datetime
   3151 christi+  20   0  320972   8260   6924 S   0,0   0,1   0:00.48 gsd-housekeepin
   3153 christi+  20   0  428276  29184  18968 S   0,0   0,4   0:00.45 gsd-keyboard
   3155 christi+  20   0  770480  31600  21036 S   0,0   0,4   0:00.54 gsd-media-keys
   3158 christi+  20   0  428688  29512  19452 S   0,0   0,4   0:00.57 gsd-power
   3159 christi+  20   0  256892  11492  10040 S   0,0   0,1   0:00.02 gsd-print-notif
   3160 christi+  20   0  465740   6240   5632 S   0,0   0,1   0:00.08 gsd-rfkill
   3161 christi+  20   0  244148   6100   5588 S   0,0   0,1   0:00.01 gsd-screensaver
   3163 christi+  20   0  473560  11388   9352 S   0,0   0,1   0:02.24 gsd-sharing
   3166 christi+  20   0  471280   8700   7852 S   0,0   0,1   0:00.01 gsd-smartcard
   3168 christi+  20   0  328008   9400   8384 S   0,0   0,1   0:00.01 gsd-sound
   3171 christi+  20   0  467348   7280   6572 S   0,0   0,1   0:00.02 gsd-usb-protect
   3173 christi+  20   0  353992  28172  18148 S   0,0   0,4   0:00.49 gsd-wacom
   3174 christi+  20   0  396400   8052   7144 S   0,0   0,1   0:00.02 gsd-wwan
   3175 christi+  20   0  355336  30060  19568 S   0,0   0,4   0:00.52 gsd-xsettings
   3213 christi+  20   0  171336   7204   6568 S   0,0   0,1   0:00.01 ibus-engine-sim
   3230 christi+  20   0  231808   5960   4600 S   0,0   0,1   0:00.03 gsd-disk-utilit
   3269 christi+  20   0  648340  61536  45960 S   0,0   0,8   0:00.52 evolution-alarm
   3306 christi+  20   0  843716  81092  48984 S   0,0   1,0   0:05.17 snap-store
   3328 christi+  20   0  350836  15244  13368 S   0,0   0,2   0:00.02 gsd-printer
   3350 christi+  20   0  466168   6508   5896 S   0,0   0,1   0:00.04 xdg-document-po
   3661 christi+  20   0  471252  10792   9520 S   0,0   0,1   0:00.50 xdg-desktop-por
   3666 christi+  20   0  502484  29020  19392 S   0,0   0,4   0:01.05 xdg-desktop-por
   4200 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh_6
   4201 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tmf_6
   4202 root      20   0       0      0      0 S   0,0   0,0   0:01.23 usb-storage
   4206 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 uas
   4247 root      20   0   18708   3352   2000 S   0,0   0,0   0:09.49 mount.ntfs
   4269 christi+  20   0 1082340  81948  47892 S   0,0   1,0   0:18.22 nautilus
   4282 christi+  20   0  171416   7192   6100 S   0,0   0,1   0:00.41 gvfsd-metadata
   4322 christi+  20   0   19916   5904   3828 S   0,0   0,1   0:00.15 bash
   4358 christi+  20   0  429164  31568  22076 S   0,0   0,4   0:00.49 update-notifier
   6285 root      20   0   20780   5084   4360 T   0,0   0,1   0:00.01 sudo
   6288 root      20   0  708124  65356  44404 T   0,0   0,8   0:00.82 python3
   6295 root      20   0    7040   2260   1880 T   0,0   0,0   0:00.00 dbus-launch
   6296 root      20   0    7360   3320   2700 S   0,0   0,0   0:00.65 dbus-daemon
   6305 christi+  20   0   19764   5548   3664 S   0,0   0,1   0:00.08 bash
   6339 christi+  20   0    6040   3816   3440 S   0,0   0,0   0:00.00 ssh-agent
   6488 christi+  20   0   19648   5604   3760 S   0,0   0,1   0:00.04 bash
   7278 root      20   0  248356   7728   6912 S   0,0   0,1   0:00.05 gvfsd
   7283 root      20   0  312816   5704   5164 S   0,0   0,1   0:00.00 gvfsd-fuse
   7292 root      20   0  474064  11200  10020 S   0,0   0,1   0:00.47 xdg-desktop-por
   7297 root      20   0  400628   6876   6260 S   0,0   0,1   0:00.13 xdg-document-po
