n:109 mse_avg:5.89 mse_y:7.83 mse_u:2.55 mse_v:1.51 psnr_avg:40.43 psnr_y:39.20 psnr_u:44.06 psnr_v:46.34 
n:110 mse_avg:5.74 mse_y:7.58 mse_u:2.60 mse_v:1.54 psnr_avg:40.54 psnr_y:39.33 psnr_u:43.98 psnr_v:46.27 
n:111 mse_avg:2.56 mse_y:3.18 mse_u:1.60 mse_v:1.05 psnr_avg:44.05 psnr_y:43.11 psnr_u:46.08 psnr_v:47.92 
n:112 mse_avg:4.71 mse_y:6.32 mse_u:1.83 mse_v:1.18 psnr_avg:41.40 psnr_y:40.12 psnr_u:45.52 psnr_v:47.43 
n:113 mse_avg:4.64 mse_y:6.18 mse_u:1.88 mse_v:1.28 psnr_avg:41.46 psnr_y:40.22 psnr_u:45.40 psnr_v:47.06 
n:114 mse_avg:4.70 mse_y:6.24 mse_u:1.93 mse_v:1.30 psnr_avg:41.41 psnr_y:40.18 psnr_u:45.28 psnr_v:47.01 
n:115 mse_avg:5.13 mse_y:6.86 mse_u:1.99 mse_v:1.32 psnr_avg:41.03 psnr_y:39.76 psnr_u:45.14 psnr_v:46.93 
n:116 mse_avg:5.26 mse_y:7.06 mse_u:2.00 mse_v:1.32 psnr_avg:40.92 psnr_y:39.64 psnr_u:45.11 psnr_v:46.93 
n:117 mse_avg:5.50 mse_y:7.40 mse_u:2.06 mse_v:1.37 psnr_avg:40.72 psnr_y:39.44 psnr_u:44.99 psnr_v:46.77 
n:118 mse_avg:5.56 mse_y:7.45 mse_u:2.14 mse_v:1.40 psnr_avg:40.68 psnr_y:39.41 psnr_u:44.83 psnr_v:46.67 
n:119 mse_avg:5.44 mse_y:7.28 mse_u:2.16 mse_v:1.38 psnr_avg:40.77 psnr_y:39.51 psnr_u:44.80 psnr_v:46.74 
n:120 mse_avg:5.96 mse_y:8.02 mse_u:2.22 mse_v:1.45 psnr_avg:40.38 psnr_y:39.09 psnr_u:44.67 psnr_v:46.51 
n:121 mse_avg:2.29 mse_y:2.82 mse_u:1.51 mse_v:0.94 psnr_avg:44.53 psnr_y:43.62 psnr_u:46.35 psnr_v:48.42 
n:122 mse_avg:4.57 mse_y:6.14 mse_u:1.84 mse_v:1.06 psnr_avg:41.53 psnr_y:40.25 psnr_u:45.49 psnr_v:47.87 
n:123 mse_avg:5.20 mse_y:7.03 mse_u:1.93 mse_v:1.16 psnr_avg:40.97 psnr_y:39.66 psnr_u:45.28 psnr_v:47.47 
n:124 mse_avg:5.32 mse_y:7.14 mse_u:2.03 mse_v:1.31 psnr_avg:40.87 psnr_y:39.59 psnr_u:45.06 psnr_v:46.95 
n:125 mse_avg:6.34 mse_y:8.56 mse_u:2.24 mse_v:1.56 psnr_avg:40.11 psnr_y:38.81 psnr_u:44.64 psnr_v:46.19 
n:126 mse_avg:7.01 mse_y:9.43 mse_u:2.56 mse_v:1.79 psnr_avg:39.67 psnr_y:38.38 psnr_u:44.05 psnr_v:45.60 
n:127 mse_avg:8.02 mse_y:10.85 mse_u:2.77 mse_v:1.94 psnr_avg:39.09 psnr_y:37.78 psnr_u:43.71 psnr_v:45.25 
n:128 mse_avg:8.77 mse_y:11.89 mse_u:2.95 mse_v:2.11 psnr_avg:38.70 psnr_y:37.38 psnr_u:43.43 psnr_v:44.89 
n:129 mse_avg:9.49 mse_y:12.84 mse_u:3.28 mse_v:2.28 psnr_avg:38.36 psnr_y:37.04 psnr_u:42.97 psnr_v:44.54 
n:130 mse_avg:10.06 mse_y:13.63 mse_u:3.40 mse_v:2.45 psnr_avg:38.11 psnr_y:36.79 psnr_u:42.82 psnr_v:44.25 
n:131 mse_avg:3.34 mse_y:4.22 mse_u:1.98 mse_v:1.18 psnr_avg:42.89 psnr_y:41.88 psnr_u:45.15 psnr_v:47.40 
n:132 mse_avg:6.62 mse_y:8.99 mse_u:2.32 mse_v:1.46 psnr_avg:39.92 psnr_y:38.59 psnr_u:44.48 psnr_v:46.48 
n:133 mse_avg:7.57 mse_y:10.30 mse_u:2.54 mse_v:1.68 psnr_avg:39.34 psnr_y:38.00 psnr_u:44.08 psnr_v:45.89 
n:134 mse_avg:8.72 mse_y:11.89 mse_u:2.81 mse_v:1.93 psnr_avg:38.73 psnr_y:37.38 psnr_u:43.64 psnr_v:45.28 
n:135 mse_avg:9.02 mse_y:12.26 mse_u:3.09 mse_v:1.96 psnr_avg:38.58 psnr_y:37.24 psnr_u:43.23 psnr_v:45.21 
n:136 mse_avg:9.68 mse_y:13.18 mse_u:3.28 mse_v:2.09 psnr_avg:38.27 psnr_y:36.93 psnr_u:42.97 psnr_v:44.94 
n:137 mse_avg:9.37 mse_y:12.76 mse_u:3.23 mse_v:1.97 psnr_avg:38.41 psnr_y:37.07 psnr_u:43.04 psnr_v:45.18 
n:138 mse_avg:8.69 mse_y:11.74 mse_u:3.22 mse_v:1.98 psnr_avg:38.74 psnr_y:37.43 psnr_u:43.05 psnr_v:45.16 
n:139 mse_avg:8.74 mse_y:11.74 mse_u:3.23 mse_v:2.23 psnr_avg:38.72 psnr_y:37.43 psnr_u:43.04 psnr_v:44.66 
n:140 mse_avg:10.05 mse_y:13.67 mse_u:3.35 mse_v:2.27 psnr_avg:38.11 psnr_y:36.77 psnr_u:42.88 psnr_v:44.57 
n:141 mse_avg:4.18 mse_y:5.38 mse_u:2.25 mse_v:1.32 psnr_avg:41.91 psnr_y:40.82 psnr_u:44.60 psnr_v:46.93 
n:142 mse_avg:8.08 mse_y:11.05 mse_u:2.59 mse_v:1.68 psnr_avg:39.06 psnr_y:37.70 psnr_u:43.99 psnr_v:45.87 
n:143 mse_avg:8.84 mse_y:12.07 mse_u:2.78 mse_v:1.94 psnr_avg:38.67 psnr_y:37.31 psnr_u:43.69 psnr_v:45.26 
n:144 mse_avg:8.86 mse_y:12.12 mse_u:2.85 mse_v:1.85 psnr_avg:38.66 psnr_y:37.30 psnr_u:43.59 psnr_v:45.45 
n:145 mse_avg:8.55 mse_y:11.62 mse_u:2.87 mse_v:1.98 psnr_avg:38.81 psnr_y:37.48 psnr_u:43.55 psnr_v:45.17 
n:146 mse_avg:8.83 mse_y:11.99 mse_u:2.93 mse_v:2.06 psnr_avg:38.67 psnr_y:37.34 psnr_u:43.46 psnr_v:45.00 
n:147 mse_avg:8.65 mse_y:11.69 mse_u:2.96 mse_v:2.15 psnr_avg:38.76 psnr_y:37.45 psnr_u:43.42 psnr_v:44.80 
n:148 mse_avg:8.60 mse_y:11.61 mse_u:3.01 mse_v:2.10 psnr_avg:38.79 psnr_y:37.48 psnr_u:43.34 psnr_v:44.91 
n:149 mse_avg:8.74 mse_y:11.82 mse_u:3.02 mse_v:2.11 psnr_avg:38.72 psnr_y:37.41 psnr_u:43.33 psnr_v:44.88 
n:150 mse_avg:9.45 mse_y:12.82 mse_u:3.18 mse_v:2.23 psnr_avg:38.38 psnr_y:37.05 psnr_u:43.10 psnr_v:44.65 
n:151 mse_avg:3.69 mse_y:4.70 mse_u:2.09 mse_v:1.28 psnr_avg:42.46 psnr_y:41.41 psnr_u:44.94 psnr_v:47.04 
n:152 mse_avg:6.93 mse_y:9.34 mse_u:2.57 mse_v:1.65 psnr_avg:39.72 psnr_y:38.43 psnr_u:44.03 psnr_v:45.97 
n:153 mse_avg:7.30 mse_y:9.82 mse_u:2.62 mse_v:1.87 psnr_avg:39.50 psnr_y:38.21 psnr_u:43.94 psnr_v:45.42 
n:154 mse_avg:8.76 mse_y:11.70 mse_u:3.33 mse_v:2.42 psnr_avg:38.71 psnr_y:37.45 psnr_u:42.91 psnr_v:44.29 
n:155 mse_avg:11.08 mse_y:14.77 mse_u:4.18 mse_v:3.23 psnr_avg:37.69 psnr_y:36.44 psnr_u:41.92 psnr_v:43.04 
n:156 mse_avg:11.69 mse_y:15.68 mse_u:4.24 mse_v:3.19 psnr_avg:37.45 psnr_y:36.18 psnr_u:41.86 psnr_v:43.09 
n:157 mse_avg:12.83 mse_y:17.38 mse_u:4.12 mse_v:3.33 psnr_avg:37.05 psnr_y:35.73 psnr_u:41.99 psnr_v:42.90 
n:158 mse_avg:15.05 mse_y:20.60 mse_u:4.59 mse_v:3.27 psnr_avg:36.36 psnr_y:34.99 psnr_u:41.52 psnr_v:42.98 
n:159 mse_avg:16.40 mse_y:22.45 mse_u:5.24 mse_v:3.35 psnr_avg:35.98 psnr_y:34.62 psnr_u:40.94 psnr_v:42.88 
n:160 mse_avg:16.66 mse_y:22.82 mse_u:5.28 mse_v:3.39 psnr_avg:35.91 psnr_y:34.55 psnr_u:40.90 psnr_v:42.83 
n:161 mse_avg:5.50 mse_y:7.11 mse_u:2.91 mse_v:1.68 psnr_avg:40.72 psnr_y:39.61 psnr_u:43.48 psnr_v:45.88 
n:162 mse_avg:8.34 mse_y:11.28 mse_u:3.09 mse_v:1.82 psnr_avg:38.92 psnr_y:37.61 psnr_u:43.23 psnr_v:45.53 
n:163 mse_avg:8.18 mse_y:10.99 mse_u:3.26 mse_v:1.84 psnr_avg:39.01 psnr_y:37.72 psnr_u:43.01 psnr_v:45.48 
n:164 mse_avg:8.09 mse_y:10.83 mse_u:3.31 mse_v:1.93 psnr_avg:39.05 psnr_y:37.78 psnr_u:42.93 psnr_v:45.29 
n:165 mse_avg:7.89 mse_y:10.52 mse_u:3.35 mse_v:1.88 psnr_avg:39.16 psnr_y:37.91 psnr_u:42.88 psnr_v:45.39 
n:166 mse_avg:8.33 mse_y:11.19 mse_u:3.30 mse_v:1.92 psnr_avg:38.92 psnr_y:37.64 psnr_u:42.95 psnr_v:45.30 
n:167 mse_avg:7.88 mse_y:10.44 mse_u:3.54 mse_v:1.99 psnr_avg:39.17 psnr_y:37.95 psnr_u:42.64 psnr_v:45.15 
n:168 mse_avg:7.26 mse_y:9.52 mse_u:3.42 mse_v:2.04 psnr_avg:39.52 psnr_y:38.34 psnr_u:42.79 psnr_v:45.04 
