n:147 mse_avg:3.21 mse_y:4.21 mse_u:1.34 mse_v:1.06 psnr_avg:43.07 psnr_y:41.89 psnr_u:46.86 psnr_v:47.88 
n:148 mse_avg:3.53 mse_y:4.65 mse_u:1.43 mse_v:1.18 psnr_avg:42.65 psnr_y:41.46 psnr_u:46.56 psnr_v:47.40 
n:149 mse_avg:4.06 mse_y:5.43 mse_u:1.43 mse_v:1.20 psnr_avg:42.05 psnr_y:40.78 psnr_u:46.57 psnr_v:47.36 
n:150 mse_avg:4.51 mse_y:6.02 mse_u:1.65 mse_v:1.35 psnr_avg:41.58 psnr_y:40.33 psnr_u:45.96 psnr_v:46.84 
n:151 mse_avg:0.92 mse_y:1.08 mse_u:0.62 mse_v:0.54 psnr_avg:48.51 psnr_y:47.78 psnr_u:50.22 psnr_v:50.80 
n:152 mse_avg:2.90 mse_y:3.77 mse_u:1.32 mse_v:1.00 psnr_avg:43.51 psnr_y:42.37 psnr_u:46.92 psnr_v:48.15 
n:153 mse_avg:3.35 mse_y:4.47 mse_u:1.26 mse_v:0.97 psnr_avg:42.88 psnr_y:41.63 psnr_u:47.14 psnr_v:48.28 
n:154 mse_avg:3.81 mse_y:5.04 mse_u:1.49 mse_v:1.18 psnr_avg:42.32 psnr_y:41.10 psnr_u:46.41 psnr_v:47.41 
n:155 mse_avg:4.33 mse_y:5.80 mse_u:1.53 mse_v:1.25 psnr_avg:41.77 psnr_y:40.50 psnr_u:46.29 psnr_v:47.15 
n:156 mse_avg:4.75 mse_y:6.37 mse_u:1.66 mse_v:1.39 psnr_avg:41.36 psnr_y:40.09 psnr_u:45.93 psnr_v:46.71 
n:157 mse_avg:5.08 mse_y:6.85 mse_u:1.63 mse_v:1.43 psnr_avg:41.07 psnr_y:39.77 psnr_u:46.00 psnr_v:46.57 
n:158 mse_avg:5.20 mse_y:6.97 mse_u:1.77 mse_v:1.52 psnr_avg:40.97 psnr_y:39.70 psnr_u:45.65 psnr_v:46.31 
n:159 mse_avg:5.21 mse_y:7.01 mse_u:1.75 mse_v:1.46 psnr_avg:40.96 psnr_y:39.67 psnr_u:45.71 psnr_v:46.49 
n:160 mse_avg:5.24 mse_y:6.97 mse_u:1.91 mse_v:1.61 psnr_avg:40.94 psnr_y:39.70 psnr_u:45.32 psnr_v:46.06 
n:161 mse_avg:5.08 mse_y:6.79 mse_u:1.79 mse_v:1.54 psnr_avg:41.07 psnr_y:39.81 psnr_u:45.61 psnr_v:46.27 
n:162 mse_avg:5.09 mse_y:6.76 mse_u:1.89 mse_v:1.60 psnr_avg:41.07 psnr_y:39.83 psnr_u:45.37 psnr_v:46.09 
n:163 mse_avg:4.92 mse_y:6.56 mse_u:1.80 mse_v:1.49 psnr_avg:41.21 psnr_y:39.96 psnr_u:45.58 psnr_v:46.40 
n:164 mse_avg:5.00 mse_y:6.61 mse_u:1.96 mse_v:1.59 psnr_avg:41.14 psnr_y:39.93 psnr_u:45.21 psnr_v:46.11 
n:165 mse_avg:4.90 mse_y:6.51 mse_u:1.80 mse_v:1.57 psnr_avg:41.23 psnr_y:40.00 psnr_u:45.57 psnr_v:46.16 
n:166 mse_avg:1.28 mse_y:1.53 mse_u:0.83 mse_v:0.71 psnr_avg:47.07 psnr_y:46.29 psnr_u:48.94 psnr_v:49.62 
n:167 mse_avg:3.08 mse_y:4.05 mse_u:1.31 mse_v:0.99 psnr_avg:43.24 psnr_y:42.06 psnr_u:46.95 psnr_v:48.19 
n:168 mse_avg:3.25 mse_y:4.29 mse_u:1.33 mse_v:1.03 psnr_avg:43.01 psnr_y:41.81 psnr_u:46.89 psnr_v:47.98 
