n:101 mse_avg:7.08 mse_y:9.38 mse_u:2.61 mse_v:2.34 psnr_avg:39.63 psnr_y:38.41 psnr_u:43.96 psnr_v:44.44 
n:102 mse_avg:6.86 mse_y:9.06 mse_u:2.64 mse_v:2.30 psnr_avg:39.77 psnr_y:38.56 psnr_u:43.91 psnr_v:44.52 
n:103 mse_avg:7.11 mse_y:9.39 mse_u:2.69 mse_v:2.41 psnr_avg:39.61 psnr_y:38.41 psnr_u:43.84 psnr_v:44.31 
n:104 mse_avg:7.13 mse_y:9.41 mse_u:2.71 mse_v:2.44 psnr_avg:39.60 psnr_y:38.39 psnr_u:43.81 psnr_v:44.25 
n:105 mse_avg:5.57 mse_y:7.14 mse_u:2.50 mse_v:2.37 psnr_avg:40.67 psnr_y:39.59 psnr_u:44.15 psnr_v:44.39 
n:106 mse_avg:1.63 mse_y:1.87 mse_u:1.26 mse_v:1.06 psnr_avg:46.00 psnr_y:45.41 psnr_u:47.13 psnr_v:47.87 
n:107 mse_avg:4.93 mse_y:6.64 mse_u:1.54 mse_v:1.44 psnr_avg:41.21 psnr_y:39.91 psnr_u:46.25 psnr_v:46.55 
n:108 mse_avg:6.04 mse_y:8.18 mse_u:1.84 mse_v:1.68 psnr_avg:40.32 psnr_y:39.00 psnr_u:45.48 psnr_v:45.87 
n:109 mse_avg:6.16 mse_y:8.37 mse_u:1.78 mse_v:1.69 psnr_avg:40.23 psnr_y:38.90 psnr_u:45.64 psnr_v:45.85 
n:110 mse_avg:4.40 mse_y:5.74 mse_u:1.79 mse_v:1.62 psnr_avg:41.70 psnr_y:40.54 psnr_u:45.60 psnr_v:46.03 
n:111 mse_avg:5.98 mse_y:8.06 mse_u:1.90 mse_v:1.76 psnr_avg:40.36 psnr_y:39.07 psnr_u:45.34 psnr_v:45.67 
n:112 mse_avg:6.14 mse_y:8.27 mse_u:1.91 mse_v:1.87 psnr_avg:40.25 psnr_y:38.96 psnr_u:45.33 psnr_v:45.41 
n:113 mse_avg:1.89 mse_y:2.21 mse_u:1.36 mse_v:1.13 psnr_avg:45.37 psnr_y:44.68 psnr_u:46.78 psnr_v:47.59 
n:114 mse_avg:2.33 mse_y:2.85 mse_u:1.43 mse_v:1.18 psnr_avg:44.45 psnr_y:43.59 psnr_u:46.57 psnr_v:47.39 
n:115 mse_avg:3.33 mse_y:4.28 mse_u:1.53 mse_v:1.37 psnr_avg:42.90 psnr_y:41.82 psnr_u:46.28 psnr_v:46.76 
