n:80 mse_avg:16.31 mse_y:22.43 mse_u:4.61 mse_v:3.57 psnr_avg:36.00 psnr_y:34.62 psnr_u:41.49 psnr_v:42.61 
n:81 mse_avg:18.53 mse_y:25.41 mse_u:5.35 mse_v:4.23 psnr_avg:35.45 psnr_y:34.08 psnr_u:40.85 psnr_v:41.87 
n:82 mse_avg:19.96 mse_y:27.29 mse_u:5.92 mse_v:4.67 psnr_avg:35.13 psnr_y:33.77 psnr_u:40.41 psnr_v:41.44 
n:83 mse_avg:4.62 mse_y:5.88 mse_u:2.65 mse_v:1.54 psnr_avg:41.49 psnr_y:40.43 psnr_u:43.91 psnr_v:46.27 
n:84 mse_avg:10.22 mse_y:13.97 mse_u:3.27 mse_v:2.20 psnr_avg:38.04 psnr_y:36.68 psnr_u:42.99 psnr_v:44.71 
n:85 mse_avg:12.90 mse_y:17.66 mse_u:3.89 mse_v:2.88 psnr_avg:37.03 psnr_y:35.66 psnr_u:42.23 psnr_v:43.54 
n:86 mse_avg:14.67 mse_y:20.00 mse_u:4.54 mse_v:3.49 psnr_avg:36.47 psnr_y:35.12 psnr_u:41.56 psnr_v:42.70 
n:87 mse_avg:16.39 mse_y:22.37 mse_u:5.00 mse_v:3.85 psnr_avg:35.98 psnr_y:34.63 psnr_u:41.14 psnr_v:42.27 
n:88 mse_avg:17.48 mse_y:23.94 mse_u:5.15 mse_v:3.98 psnr_avg:35.71 psnr_y:34.34 psnr_u:41.01 psnr_v:42.13 
n:89 mse_avg:17.59 mse_y:24.17 mse_u:5.02 mse_v:3.80 psnr_avg:35.68 psnr_y:34.30 psnr_u:41.12 psnr_v:42.33 
n:90 mse_avg:17.69 mse_y:24.26 mse_u:5.12 mse_v:3.96 psnr_avg:35.65 psnr_y:34.28 psnr_u:41.04 psnr_v:42.16 
n:91 mse_avg:3.41 mse_y:4.29 mse_u:2.05 mse_v:1.24 psnr_avg:42.80 psnr_y:41.81 psnr_u:45.01 psnr_v:47.19 
n:92 mse_avg:9.91 mse_y:13.48 mse_u:3.13 mse_v:2.38 psnr_avg:38.17 psnr_y:36.83 psnr_u:43.18 psnr_v:44.36 
n:93 mse_avg:12.60 mse_y:17.24 mse_u:3.70 mse_v:2.92 psnr_avg:37.13 psnr_y:35.76 psnr_u:42.44 psnr_v:43.48 
n:94 mse_avg:13.28 mse_y:18.12 mse_u:3.94 mse_v:3.27 psnr_avg:36.90 psnr_y:35.55 psnr_u:42.17 psnr_v:42.99 
n:95 mse_avg:15.45 mse_y:21.17 mse_u:4.31 mse_v:3.72 psnr_avg:36.24 psnr_y:34.87 psnr_u:41.79 psnr_v:42.42 
n:96 mse_avg:17.21 mse_y:23.71 mse_u:4.52 mse_v:3.93 psnr_avg:35.77 psnr_y:34.38 psnr_u:41.58 psnr_v:42.18 
n:97 mse_avg:16.28 mse_y:22.35 mse_u:4.57 mse_v:3.72 psnr_avg:36.01 psnr_y:34.64 psnr_u:41.53 psnr_v:42.43 
n:98 mse_avg:16.43 mse_y:22.59 mse_u:4.51 mse_v:3.70 psnr_avg:35.98 psnr_y:34.59 psnr_u:41.59 psnr_v:42.45 
n:99 mse_avg:14.75 mse_y:20.14 mse_u:4.48 mse_v:3.47 psnr_avg:36.44 psnr_y:35.09 psnr_u:41.62 psnr_v:42.73 
n:100 mse_avg:14.61 mse_y:19.89 mse_u:4.56 mse_v:3.51 psnr_avg:36.49 psnr_y:35.14 psnr_u:41.54 psnr_v:42.67 
n:101 mse_avg:13.84 mse_y:18.79 mse_u:4.47 mse_v:3.44 psnr_avg:36.72 psnr_y:35.39 psnr_u:41.63 psnr_v:42.77 
n:102 mse_avg:13.50 mse_y:18.30 mse_u:4.46 mse_v:3.31 psnr_avg:36.83 psnr_y:35.51 psnr_u:41.63 psnr_v:42.93 
n:103 mse_avg:12.80 mse_y:17.25 mse_u:4.47 mse_v:3.32 psnr_avg:37.06 psnr_y:35.76 psnr_u:41.63 psnr_v:42.91 
n:104 mse_avg:12.51 mse_y:16.86 mse_u:4.37 mse_v:3.30 psnr_avg:37.16 psnr_y:35.86 psnr_u:41.73 psnr_v:42.94 
n:105 mse_avg:12.06 mse_y:16.16 mse_u:4.36 mse_v:3.37 psnr_avg:37.32 psnr_y:36.05 psnr_u:41.74 psnr_v:42.86 
n:106 mse_avg:4.54 mse_y:5.80 mse_u:2.54 mse_v:1.49 psnr_avg:41.56 psnr_y:40.49 psnr_u:44.08 psnr_v:46.40 
n:107 mse_avg:8.63 mse_y:11.82 mse_u:2.72 mse_v:1.76 psnr_avg:38.77 psnr_y:37.40 psnr_u:43.78 psnr_v:45.66 
n:108 mse_avg:8.08 mse_y:10.98 mse_u:2.78 mse_v:1.74 psnr_avg:39.06 psnr_y:37.72 psnr_u:43.69 psnr_v:45.72 
n:109 mse_avg:7.26 mse_y:9.73 mse_u:2.83 mse_v:1.80 psnr_avg:39.52 psnr_y:38.25 psnr_u:43.61 psnr_v:45.58 
n:110 mse_avg:7.91 mse_y:10.64 mse_u:2.95 mse_v:1.98 psnr_avg:39.15 psnr_y:37.86 psnr_u:43.43 psnr_v:45.17 
n:111 mse_avg:8.34 mse_y:11.22 mse_u:3.10 mse_v:2.08 psnr_avg:38.92 psnr_y:37.63 psnr_u:43.22 psnr_v:44.94 
n:112 mse_avg:9.10 mse_y:12.30 mse_u:3.19 mse_v:2.17 psnr_avg:38.54 psnr_y:37.23 psnr_u:43.10 psnr_v:44.76 
n:113 mse_avg:4.26 mse_y:5.44 mse_u:2.36 mse_v:1.45 psnr_avg:41.83 psnr_y:40.77 psnr_u:44.40 psnr_v:46.51 
n:114 mse_avg:6.79 mse_y:9.14 mse_u:2.61 mse_v:1.55 psnr_avg:39.81 psnr_y:38.52 psnr_u:43.97 psnr_v:46.22 
n:115 mse_avg:7.18 mse_y:9.69 mse_u:2.70 mse_v:1.61 psnr_avg:39.57 psnr_y:38.27 psnr_u:43.81 psnr_v:46.08 
n:116 mse_avg:7.42 mse_y:10.01 mse_u:2.82 mse_v:1.66 psnr_avg:39.43 psnr_y:38.13 psnr_u:43.63 psnr_v:45.93 
n:117 mse_avg:8.49 mse_y:11.55 mse_u:2.96 mse_v:1.79 psnr_avg:38.84 psnr_y:37.51 psnr_u:43.42 psnr_v:45.59 
n:118 mse_avg:8.85 mse_y:12.06 mse_u:3.05 mse_v:1.81 psnr_avg:38.66 psnr_y:37.32 psnr_u:43.29 psnr_v:45.55 
n:119 mse_avg:8.78 mse_y:11.95 mse_u:3.09 mse_v:1.82 psnr_avg:38.69 psnr_y:37.36 psnr_u:43.23 psnr_v:45.53 
n:120 mse_avg:9.18 mse_y:12.49 mse_u:3.21 mse_v:1.92 psnr_avg:38.50 psnr_y:37.16 psnr_u:43.07 psnr_v:45.30 
n:121 mse_avg:3.29 mse_y:4.15 mse_u:1.97 mse_v:1.18 psnr_avg:42.95 psnr_y:41.95 psnr_u:45.19 psnr_v:47.40 
n:122 mse_avg:6.15 mse_y:8.30 mse_u:2.33 mse_v:1.37 psnr_avg:40.24 psnr_y:38.94 psnr_u:44.45 psnr_v:46.76 
n:123 mse_avg:7.03 mse_y:9.54 mse_u:2.52 mse_v:1.52 psnr_avg:39.66 psnr_y:38.34 psnr_u:44.11 psnr_v:46.30 
n:124 mse_avg:7.81 mse_y:10.60 mse_u:2.73 mse_v:1.73 psnr_avg:39.20 psnr_y:37.88 psnr_u:43.78 psnr_v:45.74 
n:125 mse_avg:9.07 mse_y:12.33 mse_u:3.07 mse_v:2.02 psnr_avg:38.56 psnr_y:37.22 psnr_u:43.26 psnr_v:45.08 
n:126 mse_avg:9.97 mse_y:13.53 mse_u:3.49 mse_v:2.25 psnr_avg:38.14 psnr_y:36.82 psnr_u:42.71 psnr_v:44.60 
n:127 mse_avg:11.54 mse_y:15.70 mse_u:3.85 mse_v:2.60 psnr_avg:37.51 psnr_y:36.17 psnr_u:42.28 psnr_v:43.98 
n:128 mse_avg:12.93 mse_y:17.61 mse_u:4.25 mse_v:2.87 psnr_avg:37.02 psnr_y:35.67 psnr_u:41.85 psnr_v:43.55 
n:129 mse_avg:13.89 mse_y:18.89 mse_u:4.59 mse_v:3.19 psnr_avg:36.70 psnr_y:35.37 psnr_u:41.52 psnr_v:43.10 
n:130 mse_avg:14.93 mse_y:20.31 mse_u:4.89 mse_v:3.45 psnr_avg:36.39 psnr_y:35.05 psnr_u:41.24 psnr_v:42.76 
n:131 mse_avg:15.37 mse_y:20.88 mse_u:5.15 mse_v:3.56 psnr_avg:36.26 psnr_y:34.93 psnr_u:41.01 psnr_v:42.61 
n:132 mse_avg:15.94 mse_y:21.69 mse_u:5.31 mse_v:3.56 psnr_avg:36.11 psnr_y:34.77 psnr_u:40.88 psnr_v:42.62 
n:133 mse_avg:15.71 mse_y:21.33 mse_u:5.42 mse_v:3.57 psnr_avg:36.17 psnr_y:34.84 psnr_u:40.79 psnr_v:42.61 
n:134 mse_avg:15.85 mse_y:21.57 mse_u:5.19 mse_v:3.61 psnr_avg:36.13 psnr_y:34.79 psnr_u:40.98 psnr_v:42.56 
n:135 mse_avg:16.16 mse_y:22.08 mse_u:5.14 mse_v:3.51 psnr_avg:36.05 psnr_y:34.69 psnr_u:41.02 psnr_v:42.68 
n:136 mse_avg:4.16 mse_y:5.30 mse_u:2.42 mse_v:1.35 psnr_avg:41.94 psnr_y:40.89 psnr_u:44.29 psnr_v:46.81 
n:137 mse_avg:12.91 mse_y:18.20 mse_u:2.89 mse_v:1.77 psnr_avg:37.02 psnr_y:35.53 psnr_u:43.53 psnr_v:45.66 
n:138 mse_avg:13.42 mse_y:18.69 mse_u:3.42 mse_v:2.36 psnr_avg:36.85 psnr_y:35.42 psnr_u:42.79 psnr_v:44.40 
n:139 mse_avg:16.25 mse_y:22.47 mse_u:4.25 mse_v:3.39 psnr_avg:36.02 psnr_y:34.62 psnr_u:41.84 psnr_v:42.83 
n:140 mse_avg:19.02 mse_y:26.40 mse_u:4.76 mse_v:3.74 psnr_avg:35.34 psnr_y:33.91 psnr_u:41.35 psnr_v:42.40 
n:141 mse_avg:20.90 mse_y:29.12 mse_u:4.98 mse_v:3.92 psnr_avg:34.93 psnr_y:33.49 psnr_u:41.16 psnr_v:42.19 
n:142 mse_avg:22.56 mse_y:31.51 mse_u:5.19 mse_v:4.11 psnr_avg:34.60 psnr_y:33.15 psnr_u:40.98 psnr_v:41.99 
n:143 mse_avg:4.56 mse_y:5.87 mse_u:2.47 mse_v:1.41 psnr_avg:41.54 psnr_y:40.45 psnr_u:44.20 psnr_v:46.64 
n:144 mse_avg:10.74 mse_y:14.84 mse_u:3.06 mse_v:2.03 psnr_avg:37.82 psnr_y:36.42 psnr_u:43.27 psnr_v:45.05 
n:145 mse_avg:12.77 mse_y:17.69 mse_u:3.42 mse_v:2.46 psnr_avg:37.07 psnr_y:35.65 psnr_u:42.80 psnr_v:44.23 
n:146 mse_avg:13.93 mse_y:19.31 mse_u:3.62 mse_v:2.72 psnr_avg:36.69 psnr_y:35.27 psnr_u:42.55 psnr_v:43.79 
n:147 mse_avg:13.82 mse_y:18.96 mse_u:3.90 mse_v:3.18 psnr_avg:36.73 psnr_y:35.35 psnr_u:42.23 psnr_v:43.11 
n:148 mse_avg:14.26 mse_y:19.53 mse_u:4.04 mse_v:3.37 psnr_avg:36.59 psnr_y:35.22 psnr_u:42.06 psnr_v:42.85 
n:149 mse_avg:15.47 mse_y:21.35 mse_u:4.02 mse_v:3.40 psnr_avg:36.24 psnr_y:34.84 psnr_u:42.09 psnr_v:42.82 
